,DOGE-USD,XRP-USD,BTC-USD,ETC-USD,XLM-USD,ADA-USD,DASH-USD,TRX-USD,ETH-USD,BNB-USD,LTC-USD,BCH-USD,EOS-USD,NEO-USD,USDT-USD,XMR-USD,MIOTA-USD,XTZ-USD,XEM-USD
08-05-20,62944678.0,1946386689.0,23400740340.0,778677628.0,217021091.0,278613533.0,621631646.0,450623907.0,11304626458.0,246554661.0,2241049269.0,2448845324.0,2103644595.0,235371147.0,32564418808.0,116231184.0,24154818.0,208842704.0,24086094.0
08-06-20,68990009.0,4278382957.0,23132312867.0,932695027.0,425365420.0,620550178.0,520518652.0,800831329.0,12751687084.0,326409994.0,2756992175.0,3075582968.0,2948024705.0,526378769.0,35097319459.0,216791739.0,26070062.0,213195512.0,60524499.0
08-07-20,62509900.0,1355768291.0,17572057837.0,637807950.0,179081363.0,325527431.0,355970818.0,396763867.0,9342060531.0,236392685.0,1726820323.0,1778961459.0,1658324422.0,210311618.0,25836510740.0,67833222.0,22484745.0,225885661.0,12195514.0
08-08-20,57020040.0,1391288259.0,17489608833.0,711013786.0,219371826.0,426878184.0,314807530.0,383920387.0,9451065592.0,216694610.0,1601010110.0,1629018370.0,1605604936.0,221957306.0,26113895986.0,68854565.0,36848623.0,342620805.0,13482252.0
08-09-20,68038181.0,2108627560.0,26114112569.0,744754117.0,235437880.0,311836535.0,306005369.0,596055237.0,11685827893.0,239664308.0,2247183310.0,1900620718.0,2882321248.0,436597134.0,36347245628.0,89731157.0,44262826.0,525009907.0,14008336.0
08-10-20,78539442.0,4542499150.0,27039782640.0,772362352.0,531368379.0,595072471.0,366385092.0,806259540.0,12792218737.0,310846749.0,2754950222.0,2096741327.0,2986817654.0,563509492.0,39924390806.0,167105849.0,80318199.0,546232328.0,49514025.0
08-11-20,70865885.0,2001506679.0,25064548486.0,670533879.0,223009012.0,434540367.0,353623728.0,477942729.0,12408772745.0,256078366.0,2450391467.0,1888602267.0,2355373645.0,329256715.0,38419235281.0,69702889.0,45902198.0,542700999.0,13349311.0
08-12-20,73302994.0,2061442814.0,27522199497.0,710580436.0,231325307.0,470617782.0,325340592.0,771131136.0,18480303526.0,299981376.0,2843622469.0,1979906897.0,2530322368.0,346049328.0,45360887997.0,84264770.0,37128930.0,457809394.0,10760600.0
08-13-20,61334640.0,2246050523.0,24237958589.0,656398497.0,269518943.0,355732407.0,307708892.0,1078753054.0,15064589987.0,357386067.0,2476128674.0,1873594486.0,2929453441.0,363039539.0,38417750789.0,92896330.0,33308616.0,278165303.0,9632437.0
08-14-20,64309678.0,2260353636.0,23354924400.0,786821353.0,258271148.0,343504348.0,323844514.0,836345615.0,12416067894.0,269746412.0,3063536363.0,1976925925.0,5115996830.0,301749015.0,38681122091.0,76569014.0,41108430.0,338468043.0,10023465.0
08-15-20,52637926.0,2078824448.0,20583375490.0,769055730.0,286171648.0,284566480.0,265020922.0,1128912475.0,12168816874.0,271264839.0,3595771595.0,2025998808.0,4778869235.0,293764097.0,35603319606.0,64177487.0,34278793.0,284937976.0,15713498.0
08-16-20,77628715.0,3001054633.0,28227687027.0,802217402.0,419680340.0,425628203.0,374580441.0,1342730121.0,13227089410.0,264606385.0,3997651594.0,2314759458.0,3771695207.0,418282962.0,43047212745.0,83192011.0,28424482.0,229654914.0,36811158.0
08-17-20,62570291.0,2126503478.0,26043227672.0,863281171.0,256529526.0,340692991.0,273893768.0,1708225951.0,11978984079.0,259152684.0,3627257060.0,1935254637.0,2998442461.0,359768514.0,40873174066.0,119998363.0,29222321.0,260614843.0,39002395.0
08-18-20,53306857.0,2163768928.0,24502851117.0,752855503.0,252993404.0,383288760.0,284015246.0,1532284594.0,13137391167.0,224754805.0,3345972244.0,1892818478.0,3371693790.0,353834519.0,40666046435.0,109367601.0,29519169.0,381949536.0,23832281.0
08-19-20,43536656.0,1749934412.0,20175242945.0,552303520.0,199755664.0,314037834.0,204144747.0,925062330.0,10043032427.0,240389084.0,2801314591.0,1275491257.0,2367650770.0,387346564.0,32746471325.0,153441643.0,22224044.0,305749013.0,16727039.0
08-20-20,60621268.0,1833818566.0,23762425999.0,613628634.0,267403132.0,363034924.0,302272083.0,901541907.0,11781796374.0,245533836.0,2911090515.0,1676078293.0,3522494003.0,662932816.0,41215985711.0,173157306.0,50773913.0,287391404.0,32799059.0
08-21-20,44884852.0,1417207522.0,20224191306.0,584249050.0,206985739.0,296099194.0,213957533.0,871932825.0,10131847985.0,208053381.0,2317942996.0,1270186095.0,2362958020.0,633241903.0,32892342495.0,96380021.0,28412051.0,229620599.0,38151541.0
08-22-20,39485548.0,1183627267.0,18482062658.0,546905153.0,162138541.0,232234230.0,197719136.0,559951529.0,8137303970.0,181970641.0,2315616100.0,1031635458.0,1814438208.0,441523289.0,29187550605.0,69274694.0,18529822.0,172850688.0,66171770.0
08-23-20,46470522.0,1237229520.0,20681511755.0,552674423.0,170036740.0,278021260.0,193938722.0,562364027.0,10328860398.0,192633739.0,2490426542.0,1211774706.0,1971274605.0,391584046.0,31794835157.0,81919624.0,18649652.0,233005843.0,55076100.0
08-24-20,76826314.0,1403395912.0,26301509932.0,612092126.0,226110548.0,431857369.0,302784936.0,660656192.0,12428442042.0,234877041.0,2625416624.0,1464994914.0,2496895800.0,662857960.0,42567672036.0,105150068.0,35224688.0,249600095.0,82492801.0
08-25-20,80416711.0,1194610015.0,22466660958.0,584905070.0,235648983.0,314761939.0,298266221.0,584388284.0,9967343483.0,255812854.0,2067102732.0,1147215569.0,1929872365.0,782546737.0,37126595563.0,89871232.0,36720578.0,204399531.0,73256450.0
08-26-20,89847093.0,1471948899.0,23240415076.0,686461970.0,251313087.0,361935074.0,320763922.0,656715523.0,10457777652.0,296206828.0,2212235187.0,1372140072.0,2212925741.0,847481772.0,38341362890.0,101423062.0,41565967.0,236563338.0,67355568.0
08-27-20,64056957.0,1178427813.0,19807127588.0,612795217.0,185494720.0,275672160.0,262078660.0,563814715.0,9120674421.0,260086579.0,2206041301.0,1147885582.0,1997932349.0,643963972.0,31740187752.0,116665533.0,29829438.0,157445156.0,76379931.0
08-28-20,78149363.0,1053592719.0,17485597759.0,614938597.0,176461129.0,315465776.0,230804716.0,548310637.0,8777703481.0,213897145.0,2006047086.0,1116848741.0,1655796056.0,1283333209.0,31070541135.0,103879637.0,30110552.0,167076368.0,234452468.0
08-29-20,79325829.0,1202203314.0,19760127945.0,687597705.0,194696528.0,297044001.0,277927374.0,907256920.0,11211948040.0,228141192.0,2759602454.0,1161105104.0,1877220419.0,1450491985.0,36153398644.0,113688927.0,32702205.0,157757544.0,296780177.0
08-30-20,85369757.0,1209798563.0,22285928250.0,539993003.0,200377295.0,453559242.0,244856908.0,1169223528.0,12774741797.0,215511200.0,2561891272.0,1163683245.0,1818966406.0,877057528.0,37949635827.0,104051391.0,32321713.0,153954445.0,164357255.0
08-31-20,81863764.0,1730740377.0,27311555343.0,654830012.0,261417048.0,451299015.0,343476338.0,2177409507.0,18862763756.0,450200844.0,2717986649.0,1755312158.0,2683850445.0,993813266.0,49809584105.0,128552757.0,40442437.0,213344459.0,249266584.0
09-01-20,56647412.0,1985414445.0,28037405299.0,629725612.0,270916414.0,427391907.0,325340581.0,4058694827.0,19691854014.0,577817197.0,2790169260.0,2049397876.0,3355126447.0,592770351.0,52855722597.0,132175687.0,32809903.0,272620179.0,136981334.0
09-02-20,59904548.0,1847290355.0,31927261555.0,682999663.0,278190195.0,486369863.0,311969736.0,6184131222.0,19622845896.0,574956638.0,2765272845.0,1891347861.0,3101892961.0,490096919.0,57562780194.0,140380810.0,30711728.0,294580604.0,136878717.0
09-03-20,53434717.0,1924234480.0,29965130374.0,1057957439.0,299460315.0,514623980.0,354077024.0,5318358918.0,16747106257.0,489923568.0,2851271830.0,2130928347.0,5253038602.0,507832659.0,55525478963.0,149075409.0,30547219.0,295571097.0,143656637.0
09-04-20,62295889.0,2160621038.0,44916565292.0,959438111.0,227987351.0,481176027.0,302143280.0,3631605784.0,29880047640.0,399969033.0,2831766570.0,3128814772.0,5652060836.0,669070430.0,78154159842.0,259444708.0,22343226.0,369123395.0,133528573.0
09-05-20,89557154.0,1752405005.0,37071460174.0,653562868.0,198268220.0,454580262.0,254709380.0,3126107645.0,27643678917.0,740680573.0,2075916067.0,2533324540.0,3139720799.0,560823146.0,66315625008.0,215200059.0,19908751.0,256282107.0,127272657.0
09-06-20,102610335.0,1773175897.0,33703098409.0,729376600.0,163474090.0,463220962.0,362283861.0,2401424526.0,21763614732.0,555588378.0,2235340013.0,2767464423.0,3096956227.0,783954342.0,59139010478.0,243693290.0,16143255.0,237979550.0,98245461.0
09-07-20,57144396.0,1618416970.0,33430927462.0,1008973015.0,149705922.0,610082647.0,338941249.0,3157190949.0,17991403432.0,555422363.0,2314205963.0,2444380275.0,2652161786.0,827408571.0,56334310286.0,294622244.0,18009225.0,237521903.0,54375675.0
09-08-20,77050464.0,1203137131.0,24128292755.0,915539324.0,118253396.0,572617714.0,203152467.0,2334257138.0,14547933520.0,456284484.0,1828181736.0,1619487057.0,1910271632.0,727026328.0,42234198845.0,192100834.0,11237797.0,184328871.0,41856953.0
